CELL SITE MASTER DATA - CONFIDENTIAL
Licensee,Airtel / Jio / Vi / BSNL (consolidated extract)
LSA,Karnataka
Requisition Ref,NODAL/LEA/2026/04412 dated 21-03-2026
Generated On,02-04-2026

CGI,MCC,MNC,LAC,CI,Operator,Technology,Site Type,Azimuth,Latitude,Longitude,Site Name,Address,City,Circle
404-45-1100-10,404,45,1100,10,Airtel,4G,Micro,0,12.939867,77.617232,BLR_Koramangala_S1,"8th Block, Koramangala",Bengaluru,Karnataka
404-45-1100-11,404,45,1100,11,Airtel,4G,Micro,120,12.939867,77.617232,BLR_Koramangala_S2,"8th Block, Koramangala",Bengaluru,Karnataka
404-45-1100-12,404,45,1100,12,Airtel,4G,Micro,240,12.939867,77.617232,BLR_Koramangala_S3,"8th Block, Koramangala",Bengaluru,Karnataka
405-857-1101-17,405,857,1101,17,Jio,4G,Micro,0,12.936782,77.617096,BLR_Koramangala_S1,"8th Block, Koramangala",Bengaluru,Karnataka
405-857-1101-18,405,857,1101,18,Jio,4G,Micro,120,12.936782,77.617096,BLR_Koramangala_S2,"8th Block, Koramangala",Bengaluru,Karnataka
405-857-1101-19,405,857,1101,19,Jio,4G,Micro,240,12.936782,77.617096,BLR_Koramangala_S3,"8th Block, Koramangala",Bengaluru,Karnataka
404-86-1102-24,404,86,1102,24,Vi,5G,Macro,0,12.942291,77.623766,BLR_Koramangala_S1,"8th Block, Koramangala",Bengaluru,Karnataka
404-86-1102-25,404,86,1102,25,Vi,5G,Macro,120,12.942291,77.623766,BLR_Koramangala_S2,"8th Block, Koramangala",Bengaluru,Karnataka
404-86-1102-26,404,86,1102,26,Vi,5G,Macro,240,12.942291,77.623766,BLR_Koramangala_S3,"8th Block, Koramangala",Bengaluru,Karnataka
404-64-1103-31,404,64,1103,31,BSNL,4G,Macro,0,12.926830,77.634127,BLR_Koramangala_S1,"8th Block, Koramangala",Bengaluru,Karnataka
404-64-1103-32,404,64,1103,32,BSNL,4G,Macro,120,12.926830,77.634127,BLR_Koramangala_S2,"8th Block, Koramangala",Bengaluru,Karnataka
404-64-1103-33,404,64,1103,33,BSNL,4G,Macro,240,12.926830,77.634127,BLR_Koramangala_S3,"8th Block, Koramangala",Bengaluru,Karnataka
404-45-1107-40,404,45,1107,40,Airtel,4G,Macro,0,12.969705,77.650951,BLR_Indiranagar_S1,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
404-45-1107-41,404,45,1107,41,Airtel,4G,Macro,120,12.969705,77.650951,BLR_Indiranagar_S2,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
404-45-1107-42,404,45,1107,42,Airtel,4G,Macro,240,12.969705,77.650951,BLR_Indiranagar_S3,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
405-857-1108-47,405,857,1108,47,Jio,4G,Micro,0,12.975707,77.632135,BLR_Indiranagar_S1,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
405-857-1108-48,405,857,1108,48,Jio,4G,Micro,120,12.975707,77.632135,BLR_Indiranagar_S2,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
405-857-1108-49,405,857,1108,49,Jio,4G,Micro,240,12.975707,77.632135,BLR_Indiranagar_S3,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
404-86-1109-54,404,86,1109,54,Vi,4G,Macro,0,12.976574,77.648292,BLR_Indiranagar_S1,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
404-86-1109-55,404,86,1109,55,Vi,4G,Macro,120,12.976574,77.648292,BLR_Indiranagar_S2,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
404-86-1109-56,404,86,1109,56,Vi,4G,Macro,240,12.976574,77.648292,BLR_Indiranagar_S3,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
404-64-1110-61,404,64,1110,61,BSNL,4G,Micro,0,12.972772,77.641992,BLR_Indiranagar_S1,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
404-64-1110-62,404,64,1110,62,BSNL,4G,Micro,120,12.972772,77.641992,BLR_Indiranagar_S2,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
404-64-1110-63,404,64,1110,63,BSNL,4G,Micro,240,12.972772,77.641992,BLR_Indiranagar_S3,"100 Feet Road, Indiranagar",Bengaluru,Karnataka
404-45-1114-70,404,45,1114,70,Airtel,4G,IBS,0,12.964651,77.752562,BLR_Whitefield_S1,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
404-45-1114-71,404,45,1114,71,Airtel,4G,IBS,120,12.964651,77.752562,BLR_Whitefield_S2,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
404-45-1114-72,404,45,1114,72,Airtel,4G,IBS,240,12.964651,77.752562,BLR_Whitefield_S3,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
405-857-1115-77,405,857,1115,77,Jio,4G,Macro,0,12.977394,77.741893,BLR_Whitefield_S1,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
405-857-1115-78,405,857,1115,78,Jio,4G,Macro,120,12.977394,77.741893,BLR_Whitefield_S2,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
405-857-1115-79,405,857,1115,79,Jio,4G,Macro,240,12.977394,77.741893,BLR_Whitefield_S3,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
404-86-1116-84,404,86,1116,84,Vi,5G,Macro,0,12.961290,77.744986,BLR_Whitefield_S1,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
404-86-1116-85,404,86,1116,85,Vi,5G,Macro,120,12.961290,77.744986,BLR_Whitefield_S2,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
404-86-1116-86,404,86,1116,86,Vi,5G,Macro,240,12.961290,77.744986,BLR_Whitefield_S3,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
404-64-1117-91,404,64,1117,91,BSNL,4G,IBS,0,12.964431,77.744792,BLR_Whitefield_S1,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
404-64-1117-92,404,64,1117,92,BSNL,4G,IBS,120,12.964431,77.744792,BLR_Whitefield_S2,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
404-64-1117-93,404,64,1117,93,BSNL,4G,IBS,240,12.964431,77.744792,BLR_Whitefield_S3,"ITPL Main Road, Whitefield",Bengaluru,Karnataka
404-45-1121-100,404,45,1121,100,Airtel,4G,Micro,0,12.972068,77.562435,BLR_Majestic_S1,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
404-45-1121-101,404,45,1121,101,Airtel,4G,Micro,120,12.972068,77.562435,BLR_Majestic_S2,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
404-45-1121-102,404,45,1121,102,Airtel,4G,Micro,240,12.972068,77.562435,BLR_Majestic_S3,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
405-857-1122-107,405,857,1122,107,Jio,4G,Macro,0,12.967103,77.564055,BLR_Majestic_S1,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
405-857-1122-108,405,857,1122,108,Jio,4G,Macro,120,12.967103,77.564055,BLR_Majestic_S2,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
405-857-1122-109,405,857,1122,109,Jio,4G,Macro,240,12.967103,77.564055,BLR_Majestic_S3,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
404-86-1123-114,404,86,1123,114,Vi,4G,Macro,0,12.968831,77.574274,BLR_Majestic_S1,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
404-86-1123-115,404,86,1123,115,Vi,4G,Macro,120,12.968831,77.574274,BLR_Majestic_S2,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
404-86-1123-116,404,86,1123,116,Vi,4G,Macro,240,12.968831,77.574274,BLR_Majestic_S3,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
404-64-1124-121,404,64,1124,121,BSNL,5G,Macro,0,12.984854,77.580330,BLR_Majestic_S1,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
404-64-1124-122,404,64,1124,122,BSNL,5G,Macro,120,12.984854,77.580330,BLR_Majestic_S2,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
404-64-1124-123,404,64,1124,123,BSNL,5G,Macro,240,12.984854,77.580330,BLR_Majestic_S3,"Gubbi Thotadappa Road, Majestic",Bengaluru,Karnataka
404-45-1128-130,404,45,1128,130,Airtel,4G,Macro,0,12.849578,77.652022,BLR_ElectronicCity_S1,"Phase 1, Electronic City",Bengaluru,Karnataka
404-45-1128-131,404,45,1128,131,Airtel,4G,Macro,120,12.849578,77.652022,BLR_ElectronicCity_S2,"Phase 1, Electronic City",Bengaluru,Karnataka
404-45-1128-132,404,45,1128,132,Airtel,4G,Macro,240,12.849578,77.652022,BLR_ElectronicCity_S3,"Phase 1, Electronic City",Bengaluru,Karnataka
405-857-1129-137,405,857,1129,137,Jio,4G,Macro,0,12.840499,77.651445,BLR_ElectronicCity_S1,"Phase 1, Electronic City",Bengaluru,Karnataka
405-857-1129-138,405,857,1129,138,Jio,4G,Macro,120,12.840499,77.651445,BLR_ElectronicCity_S2,"Phase 1, Electronic City",Bengaluru,Karnataka
405-857-1129-139,405,857,1129,139,Jio,4G,Macro,240,12.840499,77.651445,BLR_ElectronicCity_S3,"Phase 1, Electronic City",Bengaluru,Karnataka
404-86-1130-144,404,86,1130,144,Vi,5G,Macro,0,12.837048,77.651894,BLR_ElectronicCity_S1,"Phase 1, Electronic City",Bengaluru,Karnataka
404-86-1130-145,404,86,1130,145,Vi,5G,Macro,120,12.837048,77.651894,BLR_ElectronicCity_S2,"Phase 1, Electronic City",Bengaluru,Karnataka
404-86-1130-146,404,86,1130,146,Vi,5G,Macro,240,12.837048,77.651894,BLR_ElectronicCity_S3,"Phase 1, Electronic City",Bengaluru,Karnataka
404-64-1131-151,404,64,1131,151,BSNL,4G,Macro,0,12.844612,77.659439,BLR_ElectronicCity_S1,"Phase 1, Electronic City",Bengaluru,Karnataka
404-64-1131-152,404,64,1131,152,BSNL,4G,Macro,120,12.844612,77.659439,BLR_ElectronicCity_S2,"Phase 1, Electronic City",Bengaluru,Karnataka
404-64-1131-153,404,64,1131,153,BSNL,4G,Macro,240,12.844612,77.659439,BLR_ElectronicCity_S3,"Phase 1, Electronic City",Bengaluru,Karnataka
404-45-1135-160,404,45,1135,160,Airtel,4G,Macro,0,12.915684,77.594754,BLR_Jayanagar_S1,"4th Block, Jayanagar",Bengaluru,Karnataka
404-45-1135-161,404,45,1135,161,Airtel,4G,Macro,120,12.915684,77.594754,BLR_Jayanagar_S2,"4th Block, Jayanagar",Bengaluru,Karnataka
404-45-1135-162,404,45,1135,162,Airtel,4G,Macro,240,12.915684,77.594754,BLR_Jayanagar_S3,"4th Block, Jayanagar",Bengaluru,Karnataka
405-857-1136-167,405,857,1136,167,Jio,4G,Macro,0,12.915631,77.598864,BLR_Jayanagar_S1,"4th Block, Jayanagar",Bengaluru,Karnataka
405-857-1136-168,405,857,1136,168,Jio,4G,Macro,120,12.915631,77.598864,BLR_Jayanagar_S2,"4th Block, Jayanagar",Bengaluru,Karnataka
405-857-1136-169,405,857,1136,169,Jio,4G,Macro,240,12.915631,77.598864,BLR_Jayanagar_S3,"4th Block, Jayanagar",Bengaluru,Karnataka
404-86-1137-174,404,86,1137,174,Vi,2G,IBS,0,12.917742,77.584712,BLR_Jayanagar_S1,"4th Block, Jayanagar",Bengaluru,Karnataka
404-86-1137-175,404,86,1137,175,Vi,2G,IBS,120,12.917742,77.584712,BLR_Jayanagar_S2,"4th Block, Jayanagar",Bengaluru,Karnataka
404-86-1137-176,404,86,1137,176,Vi,2G,IBS,240,12.917742,77.584712,BLR_Jayanagar_S3,"4th Block, Jayanagar",Bengaluru,Karnataka
